WORD	arg0.np..v.v..arg1.np..arg2.pp.	arg0.np..v.v..arg2.np..arg1.np.	PREF	LLR	PRES	LOR	MI	DPC2W	DPW2C	FYE
give	225	662	arg0(np)-v(v)-arg2(np)-arg1(np)	1734.52334120947	-18.6967943123756	-3.39935498765534	-1.69845354222881	-0.520085532015922	-0.65687136979553	377.987198519967
tell	21	150	arg0(np)-v(v)-arg2(np)-arg1(np)	416.319966129974	-10.0951667651103	-3.63692896155748	-2.74497953125192	-0.123298378468379	-0.718877581287988	91.4000239939531
ask	1	36	arg0(np)-v(v)-arg2(np)-arg1(np)	116.885901369115	-5.33797376892781	-5.15300860041735	-4.92889780477373	-0.0303265571667751	-0.800683816346467	25.8018271865315
show	29	61	arg0(np)-v(v)-arg2(np)-arg1(np)	111.731736871711	-5.23879756634429	-2.33005552371875	-1.35331654034688	-0.0464193103788507	-0.507897710979539	25.2563383061893
grant	9	25	arg0(np)-v(v)-arg2(np)-arg1(np)	51.2341873994415	-3.58957773929927	-2.58011479398181	-1.63698227895281	-0.0195491839925013	-0.56142688898531	11.9028433300939
teach	4	15	arg0(np)-v(v)-arg2(np)-arg1(np)	34.133825402964	-2.94365050634251	-2.87250930732476	-1.96737195258837	-0.0119841947687953	-0.614496213498601	8.04480546569263
wish	0	8	arg0(np)-v(v)-arg2(np)-arg1(np)	27.7752408443925	-2.5663576140758	-26.4695299739697	-Inf	-0.00677966101694915	-0.824261508472035	6.03010025057493
owe	9	14	arg0(np)-v(v)-arg2(np)-arg1(np)	21.3418162681965	-2.28320496084753	-1.99081755477432	-1.07308139375948	-0.0102271500941962	-0.43346270958299	5.34780081337087
deny	1	6	arg0(np)-v(v)-arg2(np)-arg1(np)	15.4685573458783	-1.98404654642152	-3.33536330274215	-2.52679936120239	-0.00490282835321577	-0.681130863139859	3.74666447566723
fine	0	3	arg0(np)-v(v)-arg2(np)-arg1(np)	10.4052115562656	-1.57156666299805	-24.7007214154258	-Inf	-0.00254237288135593	-0.82364399160923	2.25900787142501
guarantee	0	3	arg0(np)-v(v)-arg2(np)-arg1(np)	10.4052115562656	-1.57156666299805	-24.7007214154258	-Inf	-0.00254237288135593	-0.82364399160923	2.25900787142501
earn	2	5	arg0(np)-v(v)-arg2(np)-arg1(np)	9.7482374032524	-1.56748536189047	-2.45886117213265	-1.52679936120239	-0.00387345331660104	-0.538123795245235	2.5818095808663
pay	61	27	arg0(np)-v(v)-arg2(np)-arg1(np)	8.94281012299364	-1.34499324806386	-0.735639256832993	-0.248138720219193	-0.011784393952942	-0.131829564425558	2.6721925600144
write	13	10	arg0(np)-v(v)-arg2(np)-arg1(np)	8.26329800370353	-1.36397558862775	-1.28246674842681	-0.542566677060703	-0.00610964994773729	-0.258948523934606	2.45312522836703
hand	3	5	arg0(np)-v(v)-arg2(np)-arg1(np)	7.92659443919115	-1.39738568921787	-2.05321406384296	-1.13448193842363	-0.00369153590710495	-0.448811665916929	2.22404111618033
send	143	49	arg0(np)-v(v)-arg2(np)-arg1(np)	7.60170387540407	-1.19853281080758	-0.483717415814898	-0.144535603087549	-0.0155112341708729	-0.0808058661012594	2.35704544718534
allow	0	2	arg0(np)-v(v)-arg2(np)-arg1(np)	6.93541000162258	-1.2831788070379	-24.4427807435592	-Inf	-0.00169491525423729	-0.823520599250936	1.50570189183948
fax	0	2	arg0(np)-v(v)-arg2(np)-arg1(np)	6.93541000162258	-1.2831788070379	-24.4427807435592	-Inf	-0.00169491525423729	-0.823520599250936	1.50570189183948
feed	1	2	arg0(np)-v(v)-arg2(np)-arg1(np)	3.50469053089401	-0.935258943100045	-2.23334965024862	-1.30440693986594	-0.0015129978447412	-0.490160823094596	1.08294119113398
find	1	2	arg0(np)-v(v)-arg2(np)-arg1(np)	3.50469053089401	-0.935258943100045	-2.23334965024862	-1.30440693986594	-0.0015129978447412	-0.490160823094596	1.08294119113398
accord	0	1	arg0(np)-v(v)-arg2(np)-arg1(np)	3.46700661458368	-0.907344435931364	-24.1056044539066	-Inf	-0.000847457627118644	-0.823397243858598	0.752699368927357
email	0	1	arg0(np)-v(v)-arg2(np)-arg1(np)	3.46700661458368	-0.907344435931364	-24.1056044539066	-Inf	-0.000847457627118644	-0.823397243858598	0.752699368927357
mail	0	1	arg0(np)-v(v)-arg2(np)-arg1(np)	3.46700661458368	-0.907344435931364	-24.1056044539066	-Inf	-0.000847457627118644	-0.823397243858598	0.752699368927357
will	0	1	arg0(np)-v(v)-arg2(np)-arg1(np)	3.46700661458368	-0.907344435931364	-24.1056044539066	-Inf	-0.000847457627118644	-0.823397243858598	0.752699368927357
award	13	7	arg0(np)-v(v)-arg2(np)-arg1(np)	3.43482802328807	-0.854035712600836	-0.923230983622505	-0.340932815891052	-0.00356727706638135	-0.17379450202794	1.15928406118164
serve	1	1	arg0(np)-v(v)-arg2(np)-arg1(np)	1.08308305685367	-0.503864190465947	-1.53935393336482	-0.719444439144782	-0.000665540217622555	-0.323370786516854	0.491818074917597
singe	1	1	arg0(np)-v(v)-arg2(np)-arg1(np)	1.08308305685367	-0.503864190465947	-1.53935393336482	-0.719444439144782	-0.000665540217622555	-0.323370786516854	0.491818074917597
lend	18	6	arg0(np)-v(v)-arg2(np)-arg1(np)	0.809748034787393	-0.39562424501948	-0.44189359248227	-0.134481938423626	-0.00181023239178227	-0.07353825341951	0.379971254792154
save	18	4	arg0(np)-v(v)-arg2(np)-arg1(np)	0.00390461412830363	-0.0263230798297145	-0.0347263563047733	-0.00895105633976702	-0.000115317137544978	-0.00510894064613066	-7.7843431758399e-17
